symbol,timeframe,timestamp,open,high,low,close,volume
BTCUSDT,15m,2026-06-06 12:15:00,61017.9,61072.0,60693.0,60698.9,281.5096
BTCUSDT,15m,2026-06-06 12:30:00,60698.9,60839.7,60615.3,60804.0,208.2950
BTCUSDT,15m,2026-06-06 12:45:00,60804.9,61156.0,60752.1,60998.4,227.7370
BTCUSDT,15m,2026-06-06 13:00:00,61000.5,61075.9,60930.7,60974.6,164.6124
BTCUSDT,15m,2026-06-06 13:15:00,60974.8,61026.7,60835.4,60849.9,128.6156
BTCUSDT,15m,2026-06-06 13:30:00,60849.9,60886.4,60672.9,60877.2,159.0388
BTCUSDT,15m,2026-06-06 13:45:00,60877.4,61020.2,60739.7,60779.0,134.6827
BTCUSDT,15m,2026-06-06 14:00:00,60779.2,60968.0,60744.7,60873.1,118.7589
BTCUSDT,15m,2026-06-06 14:15:00,60877.6,60990.7,60768.8,60857.8,158.3970
BTCUSDT,15m,2026-06-06 14:30:00,60857.8,60978.2,60800.8,60924.7,91.4893
BTCUSDT,15m,2026-06-06 14:45:00,60924.9,60977.0,60755.9,60762.9,116.2379
BTCUSDT,15m,2026-06-06 15:00:00,60763.1,60848.8,60523.2,60584.0,335.4382
BTCUSDT,15m,2026-06-06 15:15:00,60584.0,60665.9,60358.1,60643.3,262.3135
BTCUSDT,15m,2026-06-06 15:30:00,60643.3,60886.9,60539.2,60826.1,240.1468
BTCUSDT,15m,2026-06-06 15:45:00,60826.0,60899.4,60691.5,60752.7,147.6181
BTCUSDT,15m,2026-06-06 16:00:00,60752.5,60944.5,60667.5,60749.9,115.0107
BTCUSDT,15m,2026-06-06 16:15:00,60749.9,60791.3,60572.2,60589.0,139.9119
BTCUSDT,15m,2026-06-06 16:30:00,60589.0,60735.9,60450.6,60730.6,171.3669
BTCUSDT,15m,2026-06-06 16:45:00,60730.6,60831.2,60662.4,60747.3,142.4046
BTCUSDT,15m,2026-06-06 17:00:00,60749.9,60815.7,60571.0,60689.5,103.2228
BTCUSDT,15m,2026-06-06 17:15:00,60689.3,60736.3,60558.2,60651.6,115.2383
BTCUSDT,15m,2026-06-06 17:30:00,60651.6,60774.8,60560.5,60678.1,140.2946
BTCUSDT,15m,2026-06-06 17:45:00,60677.9,60706.4,60465.4,60549.5,181.7243
BTCUSDT,15m,2026-06-06 18:00:00,60549.5,60595.6,60422.3,60460.6,148.1952
BTCUSDT,15m,2026-06-06 18:15:00,60460.6,60719.6,60369.8,60673.7,186.5445
BTCUSDT,15m,2026-06-06 18:30:00,60668.5,60672.9,60502.9,60577.9,81.5242
BTCUSDT,15m,2026-06-06 18:45:00,60577.9,60656.0,60464.4,60605.1,46.4468
BTCUSDT,15m,2026-06-06 19:00:00,60605.3,60756.2,60527.4,60691.2,100.0361
BTCUSDT,15m,2026-06-06 19:15:00,60691.2,60700.0,60563.3,60581.3,50.2242
BTCUSDT,15m,2026-06-06 19:30:00,60581.3,60616.3,60500.0,60593.6,91.6048
BTCUSDT,15m,2026-06-06 19:45:00,60593.6,60653.7,60562.2,60562.4,92.0616
BTCUSDT,15m,2026-06-06 20:00:00,60562.4,60607.8,60484.9,60538.1,80.1362
BTCUSDT,15m,2026-06-06 20:15:00,60538.3,60614.5,60494.4,60565.4,55.2111
BTCUSDT,15m,2026-06-06 20:30:00,60565.2,60723.1,60543.7,60702.0,127.1575
BTCUSDT,15m,2026-06-06 20:45:00,60702.0,60727.1,60613.4,60680.0,66.2305
BTCUSDT,15m,2026-06-06 21:00:00,60680.2,60871.7,60622.4,60827.7,156.1892
BTCUSDT,15m,2026-06-06 21:15:00,60827.7,60912.5,60797.1,60862.0,104.9688
BTCUSDT,15m,2026-06-06 21:30:00,60862.2,60970.6,60765.0,60791.4,132.0076
BTCUSDT,15m,2026-06-06 21:45:00,60791.2,60840.0,60708.5,60720.2,106.6329
BTCUSDT,15m,2026-06-06 22:00:00,60720.4,60789.8,60552.8,60592.1,178.1821
BTCUSDT,15m,2026-06-06 22:15:00,60592.1,60738.0,60402.6,60426.9,286.3939
BTCUSDT,15m,2026-06-06 22:30:00,60426.9,60578.3,60399.7,60552.3,121.0709
BTCUSDT,15m,2026-06-06 22:45:00,60557.4,60687.2,60505.0,60512.7,90.9107
BTCUSDT,15m,2026-06-06 23:00:00,60512.7,60733.8,60511.7,60685.3,60.1024
BTCUSDT,15m,2026-06-06 23:15:00,60685.5,60714.1,60556.2,60679.6,68.8954
BTCUSDT,15m,2026-06-06 23:30:00,60679.4,60886.4,60642.6,60824.4,141.6072
BTCUSDT,15m,2026-06-06 23:45:00,60824.4,60913.5,60774.5,60851.4,71.3543
